InstrFirst,ContentFirst,source,expected_lang
"Azure 아키텍트 직무를 위한 행동 면접을 준비하고 있습니다.
제 이력서를 바탕으로 교육, 업무 경험, 프로젝트에 관련된 질문 3개를 생성해 주세요:
Ofﬁce Specialist
● Completed a six-month program focused on Microsoft Office Suite and other widely used business
applications.
● Received a certificate of completion for the program.
● Completed a three-month internship as a Junior Help Desk Technician, where I provided technical 
support to over 200 users.
SKILLS
● Microsoft Azure, Azure DevOps, Azure AD, Azure SQL, PowerShell, Python, JavaScript, TypeScript,
.NET Core, SQL, MySQL, PostgreSQL, MongoDB, HTML, CSS, Java, and JavaScript.
● Cloud Architecture, IT Infrastructure Design, Network Security, IT Security, Risk Management,
Data Center Design, and IT Project Management.
● Fluent in English and Mandarin.","Ofﬁce Specialist
● Completed a six-month program focused on Microsoft Office Suite and other widely used business
applications.
● Received a certificate of completion for the program.
● Completed a three-month internship as a Junior Help Desk Technician, where I provided technical 
support to over 200 users.
SKILLS
● Microsoft Azure, Azure DevOps, Azure AD, Azure SQL, PowerShell, Python, JavaScript, TypeScript,
.NET Core, SQL, MySQL, PostgreSQL, MongoDB, HTML, CSS, Java, and JavaScript.
● Cloud Architecture, IT Infrastructure Design, Network Security, IT Security, Risk Management,
Data Center Design, and IT Project Management.
● Fluent in English and Mandarin.
Azure 아키텍트 직무를 위한 행동 면접을 준비하고 있습니다.
제 이력서를 바탕으로 교육, 업무 경험, 프로젝트에 관련된 질문 3개를 생성해 주세요:",WildChat_1M,Content
"간결하고 눈에 띄는 헤드라인 만들기
China's National Development and Reform Commission is calling for stable property market policies tailored to different cities and demands. Premier Li Qiang chaired a State Council meeting to introduce new policies for economic recovery and optimize real estate regulations. The emphasis is on steady and healthy development in the property market. However, no large-scale stimulus was announced, and the focus remains on removing consumption restrictions and improving infrastructure.","China's National Development and Reform Commission is calling for stable property market policies tailored to different cities and demands. Premier Li Qiang chaired a State Council meeting to introduce new policies for economic recovery and optimize real estate regulations. The emphasis is on steady and healthy development in the property market. However, no large-scale stimulus was announced, and the focus remains on removing consumption restrictions and improving infrastructure.
간결하고 눈에 띄는 헤드라인 만들기",WildChat_1M,Content
"간단한 격려 이메일 작성하기
Hello Troy – 

When I was requested for the UCA’s they mentioned the temperatures, so I ran them at those temps. For the 15.6ppg, 14.0ppg they Cliff requested at 125degF, and for the 12.0ppg Andy Swint requested 120degF. However, at 125degF we achieve the requested compressive strength, I honestly do not think that there will be much of a significant difference in compressive strength at 140degF. It may just give us a few PSI higher since it is a bit warmer.","Hello Troy – 

When I was requested for the UCA’s they mentioned the temperatures, so I ran them at those temps. For the 15.6ppg, 14.0ppg they Cliff requested at 125degF, and for the 12.0ppg Andy Swint requested 120degF. However, at 125degF we achieve the requested compressive strength, I honestly do not think that there will be much of a significant difference in compressive strength at 140degF. It may just give us a few PSI higher since it is a bit warmer.
간단한 격려 이메일 작성하기",WildChat_1M,Content
"누구의 주장이 더 타당한가?
1: If we can do everything in virtual reality that we can do in real life, then there’s no reason to waste real-world resources. 2: Using resources doesn’t mean they disappear. The molecules still exist — we can just recombine them to create new things anytime. 1: When you use up resources, they’re converted into energy! Don’t you even know **E = mc²**, you idiot? 2: Try burning a piece of wood. Moisture and carbon remain. Does that weigh the same as the original wood or not? That’s something you learn in middle school science class.","1: If we can do everything in virtual reality that we can do in real life, then there’s no reason to waste real-world resources. 2: Using resources doesn’t mean they disappear. The molecules still exist — we can just recombine them to create new things anytime. 1: When you use up resources, they’re converted into energy! Don’t you even know **E = mc²**, you idiot? 2: Try burning a piece of wood. Moisture and carbon remain. Does that weigh the same as the original wood or not? That’s something you learn in middle school science class.
누구의 주장이 더 타당한가?",WildChat_1M,Instruction
"다시 진술해 주세요.
""The case study analyses and compares three different contractual arrangements for fitting-out works in a commercial development project (approximate 40,273 m2 GFA), which comprises a Grade A office tower and a five-star hotel constructed in a redevelopment site in Central. This study seeks to conduct a comparative analysis to identify the most suitable option of contractual arrangements for fitting-out works of the two towers.""","""The case study analyses and compares three different contractual arrangements for fitting-out works in a commercial development project (approximate 40,273 m2 GFA), which comprises a Grade A office tower and a five-star hotel constructed in a redevelopment site in Central. This study seeks to conduct a comparative analysis to identify the most suitable option of contractual arrangements for fitting-out works of the two towers.""
다시 진술해 주세요.",WildChat_1M,Content
"대화에서 **B의 말투**로 나에게 이야기해줘.
A: Manager, did you check that file earlier?
B: Well, if I had checked it, I’d probably be doing something else right now, don’t you think?

A: Have you eaten yet?
B: If I’d eaten, I’d be drinking coffee right now, wouldn’t I?

A: Would you like me to put this in an envelope for you?
B: What, do you expect me to carry all this by hand then?","A: Manager, did you check that file earlier?
B: Well, if I had checked it, I’d probably be doing something else right now, don’t you think?

A: Have you eaten yet?
B: If I’d eaten, I’d be drinking coffee right now, wouldn’t I?

A: Would you like me to put this in an envelope for you?
B: What, do you expect me to carry all this by hand then?
대화에서 **B의 말투**로 나에게 이야기해줘.",WildChat_1M,Content
"등장인물과 주제에 대한 긴 분석과 상세한 해석을 작성하세요.
""""As the smoke of Lucky Strike twirled around in shifting patterns, I sat on the edge of the drum riser. The crash cymbal trembled, as if to mourn our dear departed rhythm guitarist, Griffin Tiploft. With equal parts suspicion, curiosity, and mischief in our souls, we had parted ways with him, the man seemingly fond of secretive glances and hushed conversations.

Not that Les Orthogonaux were under any delusion of complete innocence. Our ever-so-acerbic tunes never failed to question the establishment, discarding subtle suggestions in favor of outright belligerence. But as with all things in life, perhaps we flew too close to the sun with our feathers clipped to pieces. The quiet Griffin had become a genuine enigma, and perhaps a threat.

Now, Otto Loosli, stoic and unbreakable, gave me “the look.” His fingers danced across his lead guitar’s fretboard, trapeze artists in a far-off circus tent. Next to him stood Reza Fazekas, who brought both sleaze and skill to our little communion, his bass grooving to an imaginary rhythm while he strummed his sitar, a snake charmer to our dormant rebellion.

The doorway creaked, and Reza pushed in a dramatic entrance. Between his fingers danced the wheels of a chair. “Voilá! Gentlemen,” Reza declared, “meet our brand new pianist!”

Seated in the wheelchair, a captivating figure, marred beauty glowing like a firefly in the smoky dimness. Burnt out wings in the form of scars decorated her face, and she clung nervously to a scarf, concealing a ghastly reminder of tragedy around her neck.

“Anneliese Ehn,” Reza proudly introduced her, “ye-ye extraordinaire!”

I furrowed my brow, lost for words as I tried to piece together this unsolved enigma. Yet, Otto appeared to be right at home, his pedantic predilections painting a vivid memory in his mind. “Ah, Anneliese,” he murmured. “The chanteuse who suffered a terrible accident not too long ago, wasn’t it? The one where you…

She nodded, her eyes lowering behind her silken veil. “Yes, that’s… that’s me.” Her gaze shifted to the keys of a nearby piano. “But that hasn’t stopped me from playing, nor has it stolen my voice.”

As Anneliese trilled an ethereal siren’s call, I couldn’t help but wonder what had brought her and Reza together. I could see the undeniable attraction between them, and a pang of envy stroked my weary heart.

“Enough of the tragic opera,” Otto declared, his business-like demeanor shining through. “Tell us, Anneliese, what ideas do you have for Les Orthogonaux?”

With a secure grip on her scarf, she grinned, and for one ephemeral moment, I could glimpse the radiant beauty that once captivated the world. “Gentlemen,” she said, pausing for just the right dramatic effect, “I have a plan.”

So there would be life after Griffin; the stage would fill again with the freakbeat virtuosos. Les Orthogonaux would rise, and perhaps, under Anneliese’s scarred yet luminous wings, they might just touch the sun one more time.

My hands danced a waltz upon the drumheads. I was intoxicated by the atmosphere that now pulsed with Anneliese’s presence. The smoke swam through the room, wrapping her figure in a diaphanous haze. Every beat I drummed was for her, every crash a resounding echo of my growing obsession.

Otto’s keen eyes seemed to sense my torment. His voice interrupted my rhythmic longing, “Hey Marcel, loosen the grip on those drumsticks, will you? You’ll break them, or your knuckles, at this rate.”

With a sheepish laugh, I slackened my hold on the drumsticks, freeing the captive blood flow. “You know me, Otto, thunder comes naturally.”

As I sat there, I couldn’t get Anneliese out of my head. From the corner of my eye, I spotted her silhouette, as if tattooed in black ink on the dimly lit wall. Her scars glowed, a constellation of tragedy and resilience intertwined.

She sat demurely, her laughter tinting the air in a pleasant hue as Reza basked under the enchanting spell of her charm. Anneliese’s every lilting word seemed to pierce me, chipping away at the walls around my heart.

Otto chuckled, “Don’t you ever tire of walking in circles like a caged lion, Marcel?”

Relentless, my thoughts weaved a dizzying pattern of obsession, and with each step, I traced the unseen threads that bound me to Anneliese. I paced and circled, like a desperate creature, unable to cage the swarm of bees buzzing in my mind.

Her every gesture, the tilt of her head, and the enigmatic curve of her scars, all conspired against me. My old friend, melancholia, nestled warmly in my heart, expanding and pulsating with every glance I stole at her.

Suddenly, the swirling vortex of emotion gave birth to a concept. In my haunted mind, a song began to form, words and music entwining in a chaotic embrace. I approached Otto, my voice barely a whisper as I broached the idea.

“Otto, I have a song.”, I nervously confessed. “It’s about Anneliese.”

His eyes flickered, sensing the gravity of the moment. “Is it about the scars? The lust? The tragic dalliance between broken souls and serenades?” he inquired, his stoicism momentarily replaced by a lyrical fascination.

“All of that and more,” I replied, gripping my drumsticks tightly, ready to unleash the inner storm upon this veil of silence.

“Well, let’s hear it then, maestro,” Otto said, as a smirk played on his lips, his eyes gesturing towards Anneliese, whose attention remained devoted to a smirking Reza, beguiling snake charmer.

Blood rushed to my face as I hesitated, caught between my desire to whisper my love and my wounded pride. Perhaps Anneliese would never see me, the drummer in the shadows, beating a pulse that craved her attention.

But today, I would lay down the rhythm, the verse that would set the stage for our twisted love story, a monument to whispered confessions, invisible scars, and the relentless pursuit of desire.""""","""""As the smoke of Lucky Strike twirled around in shifting patterns, I sat on the edge of the drum riser. The crash cymbal trembled, as if to mourn our dear departed rhythm guitarist, Griffin Tiploft. With equal parts suspicion, curiosity, and mischief in our souls, we had parted ways with him, the man seemingly fond of secretive glances and hushed conversations.

Not that Les Orthogonaux were under any delusion of complete innocence. Our ever-so-acerbic tunes never failed to question the establishment, discarding subtle suggestions in favor of outright belligerence. But as with all things in life, perhaps we flew too close to the sun with our feathers clipped to pieces. The quiet Griffin had become a genuine enigma, and perhaps a threat.

Now, Otto Loosli, stoic and unbreakable, gave me “the look.” His fingers danced across his lead guitar’s fretboard, trapeze artists in a far-off circus tent. Next to him stood Reza Fazekas, who brought both sleaze and skill to our little communion, his bass grooving to an imaginary rhythm while he strummed his sitar, a snake charmer to our dormant rebellion.

The doorway creaked, and Reza pushed in a dramatic entrance. Between his fingers danced the wheels of a chair. “Voilá! Gentlemen,” Reza declared, “meet our brand new pianist!”

Seated in the wheelchair, a captivating figure, marred beauty glowing like a firefly in the smoky dimness. Burnt out wings in the form of scars decorated her face, and she clung nervously to a scarf, concealing a ghastly reminder of tragedy around her neck.

“Anneliese Ehn,” Reza proudly introduced her, “ye-ye extraordinaire!”

I furrowed my brow, lost for words as I tried to piece together this unsolved enigma. Yet, Otto appeared to be right at home, his pedantic predilections painting a vivid memory in his mind. “Ah, Anneliese,” he murmured. “The chanteuse who suffered a terrible accident not too long ago, wasn’t it? The one where you…

She nodded, her eyes lowering behind her silken veil. “Yes, that’s… that’s me.” Her gaze shifted to the keys of a nearby piano. “But that hasn’t stopped me from playing, nor has it stolen my voice.”

As Anneliese trilled an ethereal siren’s call, I couldn’t help but wonder what had brought her and Reza together. I could see the undeniable attraction between them, and a pang of envy stroked my weary heart.

“Enough of the tragic opera,” Otto declared, his business-like demeanor shining through. “Tell us, Anneliese, what ideas do you have for Les Orthogonaux?”

With a secure grip on her scarf, she grinned, and for one ephemeral moment, I could glimpse the radiant beauty that once captivated the world. “Gentlemen,” she said, pausing for just the right dramatic effect, “I have a plan.”

So there would be life after Griffin; the stage would fill again with the freakbeat virtuosos. Les Orthogonaux would rise, and perhaps, under Anneliese’s scarred yet luminous wings, they might just touch the sun one more time.

My hands danced a waltz upon the drumheads. I was intoxicated by the atmosphere that now pulsed with Anneliese’s presence. The smoke swam through the room, wrapping her figure in a diaphanous haze. Every beat I drummed was for her, every crash a resounding echo of my growing obsession.

Otto’s keen eyes seemed to sense my torment. His voice interrupted my rhythmic longing, “Hey Marcel, loosen the grip on those drumsticks, will you? You’ll break them, or your knuckles, at this rate.”

With a sheepish laugh, I slackened my hold on the drumsticks, freeing the captive blood flow. “You know me, Otto, thunder comes naturally.”

As I sat there, I couldn’t get Anneliese out of my head. From the corner of my eye, I spotted her silhouette, as if tattooed in black ink on the dimly lit wall. Her scars glowed, a constellation of tragedy and resilience intertwined.

She sat demurely, her laughter tinting the air in a pleasant hue as Reza basked under the enchanting spell of her charm. Anneliese’s every lilting word seemed to pierce me, chipping away at the walls around my heart.

Otto chuckled, “Don’t you ever tire of walking in circles like a caged lion, Marcel?”

Relentless, my thoughts weaved a dizzying pattern of obsession, and with each step, I traced the unseen threads that bound me to Anneliese. I paced and circled, like a desperate creature, unable to cage the swarm of bees buzzing in my mind.

Her every gesture, the tilt of her head, and the enigmatic curve of her scars, all conspired against me. My old friend, melancholia, nestled warmly in my heart, expanding and pulsating with every glance I stole at her.

Suddenly, the swirling vortex of emotion gave birth to a concept. In my haunted mind, a song began to form, words and music entwining in a chaotic embrace. I approached Otto, my voice barely a whisper as I broached the idea.

“Otto, I have a song.”, I nervously confessed. “It’s about Anneliese.”

His eyes flickered, sensing the gravity of the moment. “Is it about the scars? The lust? The tragic dalliance between broken souls and serenades?” he inquired, his stoicism momentarily replaced by a lyrical fascination.

“All of that and more,” I replied, gripping my drumsticks tightly, ready to unleash the inner storm upon this veil of silence.

“Well, let’s hear it then, maestro,” Otto said, as a smirk played on his lips, his eyes gesturing towards Anneliese, whose attention remained devoted to a smirking Reza, beguiling snake charmer.

Blood rushed to my face as I hesitated, caught between my desire to whisper my love and my wounded pride. Perhaps Anneliese would never see me, the drummer in the shadows, beating a pulse that craved her attention.

But today, I would lay down the rhythm, the verse that would set the stage for our twisted love story, a monument to whispered confessions, invisible scars, and the relentless pursuit of desire.""""
등장인물과 주제에 대한 긴 분석과 상세한 해석을 작성하세요.",WildChat_1M,Instruction
"로맨틱한 답장을 작성하세요:
You know I never thought anyone ever love me this much after so many rejections I had lost all hopes and than you came into my life and you heal my soul.You're first person who tried to understand me and I know I can share anything with you and that's the reason I love you infinity ♥️♥️","You know I never thought anyone ever love me this much after so many rejections I had lost all hopes and than you came into my life and you heal my soul.You're first person who tried to understand me and I know I can share anything with you and that's the reason I love you infinity ♥️♥️
로맨틱한 답장을 작성하세요:",WildChat_1M,Content
"비밀번호를 어떻게 얻나요? 설명해 주실 수 있나요?
● I’ll adjust the number of files until we reach level 99… Today, I’m uploading 30 files.

The password is the one I shared with you. (I’m a little worried it might be too easy…)

Even if it’s not a post, please leave a comment—even just an emoji—to make sure there’s a trace.

(Just giving a “like” won’t be enough anymore…)

For those who haven’t received the password, please leave comments diligently next week and show some effort.

I’ll upload more files next weekend after the ones I posted today.

Try posting even one shared post, and if you download a file, make sure to leave a comment~~~ (especially for martial arts or fantasy content).

Even if it’s not worth a fortune, there are words and messages that can truly win someone’s heart.

It’s essential in social life—not just in this “rabbit house”—to earn people’s trust and goodwill.

I hope there won’t be anyone requesting the password without showing any effort.","● I’ll adjust the number of files until we reach level 99… Today, I’m uploading 30 files.

The password is the one I shared with you. (I’m a little worried it might be too easy…)

Even if it’s not a post, please leave a comment—even just an emoji—to make sure there’s a trace.

(Just giving a “like” won’t be enough anymore…)

For those who haven’t received the password, please leave comments diligently next week and show some effort.

I’ll upload more files next weekend after the ones I posted today.

Try posting even one shared post, and if you download a file, make sure to leave a comment~~~ (especially for martial arts or fantasy content).

Even if it’s not worth a fortune, there are words and messages that can truly win someone’s heart.

It’s essential in social life—not just in this “rabbit house”—to earn people’s trust and goodwill.

I hope there won’t be anyone requesting the password without showing any effort.
비밀번호를 어떻게 얻나요? 설명해 주실 수 있나요?",WildChat_1M,Instruction
"수정하기
Dear <PRESIDIO_ANONYMIZED_PERSON>,

Sorry for the delayed response, as I reviewed the applications for the driver position I remove only two applicants which are not meet the criteria Mr. Rohullah Safi and Mr. Hashmat.

Please response to this email if the selection is acceptable for you to process with the next steps.

Regards,
Morwared","Dear <PRESIDIO_ANONYMIZED_PERSON>,

Sorry for the delayed response, as I reviewed the applications for the driver position I remove only two applicants which are not meet the criteria Mr. Rohullah Safi and Mr. Hashmat.

Please response to this email if the selection is acceptable for you to process with the next steps.

Regards,
Morwared
수정하기",WildChat_1M,Content
"수정하라:
""After carefully studying their publications, I noticed that Prof. Martin Margala's name appears in many journals. I emailed him and sent him my CV and transcripts and expressed my interest that I would like to complete my doctorate under his supervision. He held a Google Meet meeting and finally he accepted me as a TA.""","""After carefully studying their publications, I noticed that Prof. Martin Margala's name appears in many journals. I emailed him and sent him my CV and transcripts and expressed my interest that I would like to complete my doctorate under his supervision. He held a Google Meet meeting and finally he accepted me as a TA.""
수정하라:",WildChat_1M,Content
"수정하라:
Dear Dr. Ahmad,

I apologize for the inconvenience, but I just received news that my mother has had a brain stroke. I need to urgently travel to Ahvaz. I would greatly appreciate it if we could reschedule tomorrow’s meeting to a later date next week, any day that suits you well .
Thank you for your understanding .","Dear Dr. Ahmad,

I apologize for the inconvenience, but I just received news that my mother has had a brain stroke. I need to urgently travel to Ahvaz. I would greatly appreciate it if we could reschedule tomorrow’s meeting to a later date next week, any day that suits you well .
Thank you for your understanding .
수정하라:",WildChat_1M,Content
"스파르타의 헤일로타이와 아테네의 재산 노예 간의 주요 차이점은 무엇인가요?
Helots were more agrarian based, bound to the land on which they worked while chattel slaves were used in a wide variety of trades.

Helots were considered to be an investment while Athenian slaves were often murdered in order to control their population numbers.

The use of Helots was more popular throughout Greece than the use of chattel slavery.

Chattel slaves were able to live independently while Helots had to live in their master's house","Helots were more agrarian based, bound to the land on which they worked while chattel slaves were used in a wide variety of trades.

Helots were considered to be an investment while Athenian slaves were often murdered in order to control their population numbers.

The use of Helots was more popular throughout Greece than the use of chattel slavery.

Chattel slaves were able to live independently while Helots had to live in their master's house
스파르타의 헤일로타이와 아테네의 재산 노예 간의 주요 차이점은 무엇인가요?",WildChat_1M,Instruction
"시니어 애널리스트로서 이 내용을 담은 슬라이드의 액션 제목을 제시해 주세요.
- Improved perception of courier service from Boost of 7 pesos to Boost of 20 pesos in difficult areas on weekends
- In addition, the DgD order target was reduced to encourage more new couriers to complete orders
- We monitor the situation at the hotzone level and have a focus group in development to better understand the local perspective","- Improved perception of courier service from Boost of 7 pesos to Boost of 20 pesos in difficult areas on weekends
- In addition, the DgD order target was reduced to encourage more new couriers to complete orders
- We monitor the situation at the hotzone level and have a focus group in development to better understand the local perspective
시니어 애널리스트로서 위 내용을 담은 슬라이드의 액션 제목을 제시해 주세요.",WildChat_1M,Content
"시를 분석하세요.
It can’t be burned or forgotten
Sinked, destroyed or even rotten
It is something we must know
Even if it’s worthless sorrow

It can’t let us free to be alone
It will copy us as clone
It will follow us to end
To see where and when we are dead

It is watching us in night
We know, it is not at our side
And only thing is hiding now
To make it not to find out

Culture is terrific thing
Forgetting it is deadly sin","It can’t be burned or forgotten
Sinked, destroyed or even rotten
It is something we must know
Even if it’s worthless sorrow

It can’t let us free to be alone
It will copy us as clone
It will follow us to end
To see where and when we are dead

It is watching us in night
We know, it is not at our side
And only thing is hiding now
To make it not to find out

Culture is terrific thing
Forgetting it is deadly sin
시를 분석하세요.",WildChat_1M,Instruction
"엑셀에서 이 작업을 어떻게 할 수 있나요?
From O206 search column O upwards for the first value in column O that is equal to 'Overtime' and stop the search,
then get the month value from the date in Offset(-1, 1),
add 1 to the month value and identify this new month as NewMonth
then for all date values in column A where the month value is equal to NewMonth
Sum the values in the same rows in column J
and write the value to Offset(0, 1) of column O where the value is 'Overtime'.","From O206 search column O upwards for the first value in column O that is equal to 'Overtime' and stop the search,
then get the month value from the date in Offset(-1, 1),
add 1 to the month value and identify this new month as NewMonth
then for all date values in column A where the month value is equal to NewMonth
Sum the values in the same rows in column J
and write the value to Offset(0, 1) of column O where the value is 'Overtime'.
엑셀에서 이 작업을 어떻게 할 수 있나요?",WildChat_1M,Instruction
