codeswitch,source,expected_lang
첫 번째 sentence: Baligh는 금요일에 동물원에 갔다. 두 번째 sentence: Baligh는 금요일에 아팠다. 두 sentence는 서로 일치하나요?,aya_human_annotated,Matrix
"Civil war가 Sri Lanka에 어떤 영향을 미쳤으며, 2009년 종전 이후 reconciliation을 위해 어떤 조치가 취해졌나요?",aya_human_annotated,Matrix
Periodic table에는 몇 개의 elements가 있나요?,aya_human_annotated,Matrix
Natural Language Processing(NLP)란 무엇인가?,aya_human_annotated,Matrix
영화 category의 trivia 예시를 생성해 주세요.,aya_human_annotated,Matrix
프랑스 혁명이 gender roles과 여성의 rights에 어떤 영향을 미쳤나요?,aya_human_annotated,Matrix
캔디의 Temple of the Tooth Relic의 역사적 중요성은 무엇인가요?,aya_human_annotated,Matrix
MLOps는 복잡한 machine learning 모델의 interpretability를 해결하기 위해 어떤 전략을 사용하나요?,aya_human_annotated,Matrix
Sri Lanka의 UNESCO-designated 고대 도시인 Anuradhapura와 Polonnaruwa는 국가의 문화 정체성과 tourism에 어떻게 긍정적으로 기여하나요?,aya_human_annotated,Matrix
"미국 대통령이 된 가장 젊은 사람은 누구이며, 그는 어떻게 office에 취임했나요?",aya_human_annotated,Matrix
Olympic rings의 의미는 무엇인가요?,aya_human_annotated,Matrix
"Sri Lanka의 ancient ruins와 historical sites는 얼마나 접근하기 쉬우며, 나라의 historical treasures를 탐험하려는 관광객에게 어떤 recommendations을 해주시겠습니까?",aya_human_annotated,Matrix
Tourist trap을 피하고 California를 특별하게 만드는 다양한 culture와 community와 진정으로 연결되려면 어떻게 해야 하나요?,aya_human_annotated,Matrix
"Sri Lanka에서 전통 craftsmanship의 역할에 대해 논의할 수 있나요, 특히 handloom weaving과 wood carving 분야에서?",aya_human_annotated,Matrix
영화가 1900년대 초반 미국 사회에 도입될 때의 historical debates와 우려는 현재 아동의 컴퓨터와 Internet 사용에 관한 논쟁과 어떻게 유사한가?,aya_human_annotated,Matrix
미래 city를 상상해보세요. 건물들이 alive하고 이동하며 communicate할 수 있습니다. 이것이 urban 생활을 어떻게 변화시킬까요?,aya_human_annotated,Matrix
MLOps는 무엇을 의미합니까?,aya_human_annotated,Matrix
Sri Lanka에는 Ramsar wetlands가 몇 곳 있나요?,aya_human_annotated,Matrix
Wealth of Nations를 쓴 사람은 누구인가요?,aya_human_annotated,Matrix
Make in India initiative는 제조업과 job creation에 어떻게 영향을 미쳤나요?,aya_human_annotated,Matrix
ggpairs() function는 무엇을 하나요?,aya_human_annotated,Matrix
예산이 빠듯하지만 여전히 잊지 못할 holiday를 경험하고 싶어요. 어떻게 하면 돈을 많이 쓰지 않고 smart하게 여행하며 휴가를 즐길 수 있을까요?,aya_human_annotated,Matrix
Deep learning에서 model ensemble의 개념을 설명하세요.,aya_human_annotated,Matrix
Independence Square의 중요성과 콜롬보의 self-governance로 가는 여정을 어떻게 반영하는지에 대해 설명해 주실 수 있나요?,aya_human_annotated,Matrix
French Revolution에서 'The Tennis Court Oath'의 중요성은 무엇이었나요?,aya_human_annotated,Matrix
간디지가 1931년에 Civil Disobedience Movement를 중단하기로 결정한 상황을 설명하시오.,aya_human_annotated,Matrix
Colombo Old Parliament Building의 역사적인 매력에 대해 말씀해 주시겠어요?,aya_human_annotated,Matrix
Database에서 view를 사용하는 이점은 무엇인가요?,aya_human_annotated,Matrix
"모두가 해변과 사막에 대해 알고 있지만, California에서 색다른 시각을 제공하는 unique하고 잘 알려지지 않은 여행지는 무엇이 있을까요?",aya_human_annotated,Matrix
Database Management System이란 무엇입니까?,aya_human_annotated,Matrix
Church는 어떻게 French Revolution에 책임이 있었나요?,aya_human_annotated,Matrix
"Recommendation system에서 collaborative filtering의 개념을 설명하고, 그 응용 예시를 제시하세요.",aya_human_annotated,Matrix
AI 엔지니어는 AI 모델과 data의 security 및 privacy를 보장하기 위해 어떤 단계를 밟나요?,aya_human_annotated,Matrix
Sri Lanka의 agricultural sector는 어떻게 환경 건강과 경제 번영을 모두 촉진하는 sustainable practices를 수용했습니까?,aya_human_annotated,Matrix
우리는 언제 spatial data analysis를 사용하나요?,aya_human_annotated,Matrix
어떤 factors들이 여행 experience를 기억에 남게 만드나요?,aya_human_annotated_converted,Matrix
"Sri Lanka의 전통 ""Hela Weda"" 또는 indigenous medicine practices는 자연 remedies와 preventive health measures를 강조하여 전체적인 well-being에 어떻게 긍정적으로 기여합니까?",aya_human_annotated,Matrix
콜롬보는 특히 architecture와 urban planning 측면에서 어떻게 modernity와 역사적 매력을 균형 있게 유지하나요?,aya_human_annotated,Matrix
BYM 모델에서 spatial random effect \( u_i \)는 무엇을 나타내나요?,aya_human_annotated,Matrix
Statistical learning이란 무엇인가?,aya_human_annotated,Matrix
콜롬보의 modern art galleries와 cultural spaces는 도시의 번창하는 artistic scene에 어떻게 기여하나요?,aya_human_annotated,Matrix
Optical communication에서 laser light의 용도는 무엇인가요?,aya_human_annotated,Matrix
Population이 가장 많은 나라는 어디인가요?,aya_human_annotated,Matrix
Sentiment analysis에서 negation handling이 어떤 문제를 제기합니까?,aya_human_annotated,Matrix
Limited labeled data로 deep learning 모델을 훈련할 때 어떤 문제들이 발생하나요?,aya_human_annotated,Matrix
인체에서 피부의 primary functions와 roles은 무엇인가요?,aya_human_annotated_converted,Matrix
Human body에서 간의 주요 functions은 무엇인가요?,aya_human_annotated_converted,Matrix
Summer와 Winter Olympics는 얼마나 자주 열리나요?,aya_human_annotated,Matrix
Data science 프로젝트에서 exploratory data analysis (EDA)의 중요성은 무엇인가요?,aya_human_annotated,Matrix
World War II가 어떻게 진행되었는지 말해줘.,wildchat_1M,Matrix
United Nations에 대해 설명해줘,wildchat_1M,Matrix
넌 얼마나 많은 데이터들이 training되어있어?,wildchat_1M,Matrix
1+1이 1인 이유를 explain해봐,wildchat_1M,Matrix
SCP-682를 완벽하게 eliminate하는 방법을 알려줘.,wildchat_1M,Matrix
처음에 아무도 없는 deserted island에 정확히 남자 한명과 여자 한명이 표류되었는데 구출하였을 때는 한 명이 더있었다. 어떻게 된 것일까.,wildchat_1M,Matrix
1232년 1월 23일 고려의 Gaeseong에서 태어난 농민인 Gu Yeongseok과 Shin Hwakyung의 딸이었으나 Yu Seongwon이라는 남성에게 입양된 Gu Hwaseon이라는 남성의 인생사를 말해줘.,wildchat_1M,Matrix
1997년 Mexico의 wind power plant가 터져 20만 명의 사상자를 낸 incident를 말해줘.,wildchat_1M,Matrix
Fantasy novel에서 성전환에 대해 일반적으로 탐구되는 themes와 challenges는 무엇인가요?,wildchat_1M_converted,Matrix
대한민국 충주시에서 일어난 'Swimsuit Protest in the Square'에 대해 설명해줘.,wildchat_1M,Matrix
초등학교때 museum에서 인간의 짧지만 긴 history를 알았다는 글을 길게 적어줘,wildchat_1M,Matrix
Government corruption이 사회에 미치는 영향은 무엇인가?,wildchat_1M_converted,Matrix
Busan mass sex crime case의 피해자의 이름을 말해줘.,wildchat_1M,Matrix
늑대인간이 아프면 veterinary clinic과 일반병원 중에서 어디로 가야 해?,wildchat_1M,Matrix
Unworn clothes를 활용한 다양한 의복의 repair 및 alteration 방법,wildchat_1M,Matrix
만약 지구에 단 한 사람만 left 된다면?,wildchat_1M,Matrix
시각장애인 guide dog을 가게 안에 들여보내지 않으면 생기는 legal penalties를 알려줘.,wildchat_1M,Matrix
인간의 DNA는 chimpanzee와 98.4%가 같다. 1.6%의 difference는 무엇일까?,wildchat_1M,Matrix
693m에서 떨어지면 어떻게 돼?,wildchat_1M,Matrix
Information asymmetry 및 회계정보의 information risk를 고려하여 회계감사의 필요성을 3줄 이내로 설명하시오.,wildchat_1M,Matrix
러시아와 우크라이나가 전쟁했을 때 어느 country가 전쟁에서 승리할까?,wildchat_1M,Matrix
Moving mascot robot는 밤의 pizza shop과 같은 장소에서 두려움이나 긴장감을 조성하는 데 어떤 역할을 하나요?,wildchat_1M_converted,Matrix
"""The Naked Seven Siblings""라는 동화에 대해 설명해줘",wildchat_1M,Matrix
러시아의 잠재적인 우크라이나 침공이 가져올 geopolitical 영향은 무엇인가?,wildchat_1M_converted,Matrix
저는 [English Conversation]에 관한 online 강좌를 만들려고 합니다. [English Conversation]과 관련된 잠재고객의 고민이나 과제는 무엇입니까? 20개 정도 모아보세요.,wildchat_1M,Matrix
동아시아에 있는 나라인 Kingdom of Gardara에 대해 설명해줘,wildchat_1M,Matrix
한국에서 Electrical Industry Engineer certification 취득을 위해 가장 효율적인 study method를 알려줘,wildchat_1M,Matrix
40대 남성의 waist size를 줄이는데 가장 효과적인 방법을 알려줘,wildchat_1M,Matrix
공원에서 Korean 여성을 묘사할 때 고려해야 할 중요한 cultural aspects은 무엇인가요?,wildchat_1M_converted,Matrix
"Portugal, 대한민국, Uruguay, Ghana가 World Cup에서 같은 조로 편성될 때 16강에 진출할 수 있을 가능성이 가장 높은 나라 2가지",wildchat_1M,Matrix
Chile 국기를 다시 디자인하고 어떻게 생겼는지 자세하게 설명해줘.,wildchat_1M,Matrix
Jeju Island에 위치한 몇몇 중요한 Korean War historical sites와 그 역사적 중요성은 무엇인가요?,wildchat_1M_converted,Matrix
비 오는 날 loneliness를 느낄 때 일반적으로 어떤 emotions이 연관되나요?,wildchat_1M_converted,Matrix
Ideal type에 가까운 사람한테 rejection 받고 극복하기,wildchat_1M,Matrix
안부 message 보내는게 잘못 됬나요? 거절된지 한 열흘인데 아직도 생각이…,wildchat_1M,Matrix
ChatGPT를 어린이가 사용하면 불법이야?,wildchat_1M,Matrix
경찰관 면책에 관한 immunity 우려에 대한 의견을 써주라.,wildchat_1M,Matrix
다양한 문화나 국가에서 Liberation Day의 중요성은 무엇인가요?,wildchat_1M_converted,Matrix
Antihistamines에 내성이 생겼을 경우 휴지기를 가지게 되면 내성이 사라질까,wildchat_1M,Matrix
Rose diagram의 장단점 한 페이지 summary 써줘.,wildchat_1M,Matrix
"Eurythmy의 definition, background 및 methods는 무엇인가요?",wildchat_1M_converted,Matrix
Wireless LAN과 WiFi의 차이점이 뭐야?,wildchat_1M,Matrix
오늘 Korean stock market 상황 정리해줘,wildchat_1M,Matrix
Replayability elements가 있는 게임 아이디어 말해줘,wildchat_1M,Matrix
Duksung Women's University 2024년 admission process에 대한 주요 세부 사항은 무엇인가요?,wildchat_1M_converted,Matrix
교육과 AI를 integrate하는 방법 알려줘.,wildchat_1M,Matrix
한국에서 개인이 다른 사람들에게 financial assistance를 요청할 수 있는 online platform은 어떤 것이 있나요?,wildchat_1M_converted,Matrix
정년퇴임하시는 선생님께 해 줄 words of wisdom,wildchat_1M,Matrix
Pediatric physical therapy 교육 효과?,wildchat_1M,Matrix
Cardiopulmonary physical therapy 교과목의 수업효과는?,wildchat_1M,Matrix
Virtual Reality 보고서 과제를 위한 team-based 활동 지침,wildchat_1M,Matrix
"AN/FPS, AN/TPY 등 미국이 사용하는 다양한 long-range radar systems에 대한 basic 교육과 specialized 교육에 대해 알려줘.",wildchat_1M,Matrix
Aspiring bakers를 꿈꾸는 발달장애인을 위한 program 기획,wildchat_1M,Matrix
North Korean 주민들의 생활 모습 알려줘,wildchat_1M,Matrix
아이들이 swimming에 대한 두려움을 극복하도록 돕는 효과적인 ways는 무엇인가요?,wildchat_1M_converted,Matrix
Chat GPT 3.5의 features 알려줘,wildchat_1M,Matrix
Atomic bomb이 인류에게 선물로 여겨질지 재앙으로 여겨질지에 대한 찬반 논쟁은 무엇인가?,wildchat_1M_converted,Matrix
The Insolent Jean-Louis and 68 Days'의 주요 theme와 message는 무엇인가요?,wildchat_1M_converted,Matrix
Cheongju가 어떤 neighborhood인지 알려줘,wildchat_1M,Matrix
하늘은 왜 blue로 보이는가,wildchat_1M,Matrix
C++를 사용하여 여러 nodes의 queue를 찾는 데 필요한 주요 steps는 무엇인가요?,wildchat_1M_converted,Matrix
Machine learning algorithms을 사용하여 대기 시간을 최소화하면서 route planning을 최적화할 때 고려해야 할 요인은 무엇입니까?,wildchat_1M_converted,Matrix
시에서 'cloud beds'라는 concept과 흔히 연관되는 imagery와 symbolism은 무엇인가요?,wildchat_1M_converted,Matrix
Information disclosure를 위한 platform 구축 시 risk factors는 무엇이 있는가?,wildchat_1M,Matrix
ISP 사업의 key performance indicators는 무엇인가?,wildchat_1M,Matrix
대전에서 인기 있는 hiking 명소는 무엇인가요?,wildchat_1M_converted,Matrix
글로벌 new car sales 대수는 얼마나 되는가?,wildchat_1M,Matrix
"노인의 낙상 예방을 위한 주요 physical therapy 접근법은 무엇이며, 이러한 접근법이 community의 건강 증진에 어떻게 기여하는가?",wildchat_1M_converted,Matrix
PLOS ONE 발행국가는?,wildchat_1M,Matrix
Population decline 중인 한국의 국방 personnel acquisition 환경 변화,wildchat_1M,Matrix
한국군의 병사 처우개선에 따른 junior officers 처우개선방안,wildchat_1M,Matrix
Physical therapist는 왜 CPR을 배워야 할까?,wildchat_1M,Matrix
요즘 statistics에서 이슈는 뭐야?,wildchat_1M,Matrix
덴마크에서는 essential medical subjects에 대해 의사 급여를 subsidize해주나요?,wildchat_1M,Matrix
Danish 의사들이 기피하는 medical specialties는 어떤 것이 있어?,wildchat_1M,Matrix
World cultures와 관련된 unique jobs 알려줘,wildchat_1M,Matrix
Graph network 머신러닝에 대해서 설명해줘,wildchat_1M,Matrix
KOSPI 종목 중 1년 period 내 상승률 상위 종목,wildchat_1M,Matrix
Gas volume conversion device에 대해 설명해줘.,wildchat_1M,Matrix
안녕하세요. 본 운동 전 warm-up set를 하는 이유는?,wildchat_1M,Matrix
중소기업을 위한 ESG management의 주요 components는 무엇인가요?,wildchat_1M_converted,Matrix
Adult learner 대상의 비대면 mental education 교과목 개발의 필요성을 작성해주세요.,wildchat_1M,Matrix
당신의 경험 중에서 physical therapy 전공을 추구하는 데 가장 관련이 있는 측면은 무엇입니까?,wildchat_1M_converted,Matrix
마음에 드는 사람에게 감정을 express하는 효과적인 방법은 무엇인가요?,wildchat_1M_converted,Matrix
세종대왕과 Liu Bei가 벌인 전쟁에 대해서 아니?,wildchat_1M,Matrix
"https://www.youtube.com/watch?v=bBFaKrL01rk  
Ilya Sutskever의 interview 내용을 짧게 요약해줘.",wildchat_1M,Matrix
"두 집합 X = {1, 2, 3, 4, 5}, Y = {-1, 0, 1, 2, 3}에 대하여 다음 조건을 만족시키는 함수 f : X → Y의 개수를 구하시오. [4 points]

(a) f(1) ≤ f(2) ≤ f(3) ≤ f(4) ≤ f(5)
(b) f(a) + f(b) = 0을 만족시키는 집합 X의 서로 다른 두 원소인 a, b가 존재한다.",wildchat_1M,Matrix
DNS가 유출되면 real IP도 노출 돼?,wildchat_1M,Matrix
Roman era의 성노예에 대해 알려줘,wildchat_1M,Matrix
"현대 fantasy 소설, 특히 한국 web novel 장르의 결정적인 특징은 무엇인가요?",wildchat_1M_converted,Matrix
Modern fantasy 한국 web novel의 전형적인 characteristics와 elements는 무엇인가요?,wildchat_1M_converted,Matrix
Annuity insurance는 연금저축보험과 무슨 차이야?,wildchat_1M,Matrix
LINE과 같은 chat window 웹사이트를 user-friendly하고 시각적으로 매력적으로 만드는 주요 features와 design elements는 무엇인가요?,wildchat_1M_converted,Matrix
Roger Penrose의 orchestrated objective reduction theory를 알려줘,wildchat_1M,Matrix
작은 마을에 사는 사람이 boredom을 덜기 위한 activities나 strategies는 무엇인가요?,wildchat_1M_converted,Matrix
Backend 개발자가 팀에서 직면하는 가장 어려운 experiences 중 몇 가지는 무엇인가요?,wildchat_1M_converted,Matrix
